RID,Time_Departure,Distance,Weekday,Hour,Day,Signaltype,Time_Arrival,Speed_Per_Hour,Time_Driving,Address1,Address2
R00040,2023-01-02 16:00:00,37489.43221858887,Thu,0,20,37,2023-01-02 18:37:00,56.11558171070327,2405.0,충청남도,상세주소40
R00041,2023-01-02 17:00:00,149057.89612326978,Sat,22,29,19,2023-01-02 20:48:00,40.06284742734623,13394.0,경기도,상세주소41
R00042,2023-01-02 18:00:00,11282.1678134503,Mon,2,24,2,2023-01-02 21:03:00,44.03785323259471,922.0,서울특별시,상세주소42
R00043,2023-01-02 19:00:00,272886.8002215558,Fri,13,13,1,2023-01-02 20:25:00,360.8610403884745,2722.0,경기도,상세주소43
R00044,2023-01-02 20:00:00,78375.21449840505,Tue,5,3,17,2023-01-02 20:48:00,41.083482718514624,6867.0,서울특별시,상세주소44
R00045,2023-01-02 21:00:00,199094.16302184062,Fri,17,30,43,2023-01-03 00:08:00,44.55151345169047,16087.0,서울특별시,상세주소45
R00046,2023-01-02 22:00:00,94201.61175073388,Tue,0,1,9,2023-01-02 22:55:00,87.26465127388904,3886.0,경기도,상세주소46
R00047,2023-01-02 23:00:00,156500.33833216544,Fri,5,4,4,2023-01-03 02:18:00,72.28636680323959,7794.0,충청남도,상세주소47
R00048,2023-01-03 00:00:00,164466.37352364062,Wed,5,25,8,2023-01-03 00:52:00,75.27886689484008,7865.0,서울특별시,상세주소48
R00049,2023-01-03 01:00:00,56271.48220213258,Sun,20,13,1,2023-01-03 02:16:00,59.317544850840896,3415.0,인천광역시,상세주소49
R00050,2023-01-03 02:00:00,290905.803701603,Tue,15,17,33,2023-01-03 02:42:00,80.22210425343522,13054.0,경기도,상세주소50
R00051,2023-01-03 03:00:00,232764.71418497324,Fri,4,28,37,2023-01-03 07:06:00,76.95596635945569,10888.0,충청남도,상세주소51
R00052,2023-01-03 04:00:00,281910.18352769257,Mon,16,30,30,2023-01-03 07:43:00,71.97075828880722,14101.0,경기도,상세주소52
R00053,2023-01-03 05:00:00,268553.377777867,Wed,9,11,9,2023-01-03 07:53:00,46.916718897157786,20606.0,경기도,상세주소53
R00054,2023-01-03 06:00:00,179772.09366451445,Wed,20,2,49,2023-01-03 07:42:00,51.15925703220249,12650.0,경기도,상세주소54
R00055,2023-01-03 07:00:00,276640.3962719119,Mon,17,25,11,2023-01-03 10:05:00,81.16260197464737,12270.0,서울특별시,상세주소55
R00056,2023-01-03 08:00:00,27459.25811352393,Fri,6,16,35,2023-01-03 09:46:00,49.6653251709809,1990.0,충청남도,상세주소56
R00057,2023-01-03 09:00:00,59598.875863324414,Thu,2,2,20,2023-01-03 12:18:00,34.22951727471089,6268.0,경기도,상세주소57
R00058,2023-01-03 10:00:00,14522.959384250882,Mon,12,29,48,2023-01-03 11:54:00,49.27963850472044,1060.0,경기도,상세주소58
R00059,2023-01-03 11:00:00,98273.76889821603,Fri,14,19,46,2023-01-03 14:31:00,91.18811364438238,3879.0,충청남도,상세주소59
R00060,2023-01-03 12:00:00,117214.50961715513,Mon,19,23,5,2023-01-03 14:21:00,49.29926671216806,8559.0,서울특별시,상세주소60
R00061,2023-01-03 13:00:00,82133.36050039488,Mon,18,19,47,2023-01-03 17:19:00,66.55309583973384,4442.0,인천광역시,상세주소61
R00062,2023-01-03 14:00:00,248792.51523642687,Tue,2,25,48,2023-01-03 16:05:00,47.686241492571035,18782.0,경기도,상세주소62
R00063,2023-01-03 15:00:00,107669.24468138319,Fri,3,16,2,2023-01-03 18:17:00,75.26851108970732,5149.0,인천광역시,상세주소63
R00064,2023-01-03 16:00:00,84999.41839652685,Thu,4,22,9,2023-01-03 19:05:00,70.73598381406045,4325.0,경기도,상세주소64
R00065,2023-01-03 17:00:00,163266.1288643163,Sun,0,19,4,2023-01-03 19:14:00,30.17630517669275,19477.0,-,상세주소65
R00066,2023-01-03 18:00:00,43136.34326745403,Tue,3,9,45,2023-01-03 21:42:00,65.36063974171961,2375.0,서울특별시,상세주소66
R00067,2023-01-03 19:00:00,240856.89724545786,Mon,11,1,25,2023-01-03 21:41:00,26.348262254028654,32908.0,서울특별시,상세주소67
R00068,2023-01-03 20:00:00,23290.642460251474,Sun,23,10,20,2023-01-03 22:47:00,48.91864405142181,1713.0,경기도,상세주소68
R00069,2023-01-03 21:00:00,296079.19404355466,Sat,9,19,44,2023-01-04 01:59:00,59.77132166735245,17832.0,경기도,상세주소69
R00070,2023-01-03 22:00:00,231901.18601970057,Sun,22,1,25,2023-01-03 23:07:00,96.93731830924993,8612.0,경기도,상세주소70
R00071,2023-01-03 23:00:00,60415.98877871755,Mon,20,2,37,2023-01-04 00:14:00,66.35824930198353,3277.0,경기도,상세주소71
R00072,2023-01-04 00:00:00,2651.113019957117,Mon,19,16,43,2023-01-04 03:12:00,44.658278254739145,213.0,경기도,상세주소72
R00073,2023-01-04 01:00:00,244822.9671079954,Fri,23,12,25,2023-01-04 05:42:00,53.65579794966799,16426.0,인천광역시,상세주소73
R00074,2023-01-04 02:00:00,212350.34581043752,Fri,12,8,7,2023-01-04 05:18:00,78.48393548885008,9740.0,경기도,상세주소74
R00075,2023-01-04 03:00:00,218973.14324425522,Tue,22,23,4,2023-01-04 03:49:00,44.92966316520066,17545.0,인천광역시,상세주소75
R00076,2023-01-04 04:00:00,231609.83365909779,Thu,13,18,14,2023-01-04 08:28:00,81.93956996002981,10175.0,경기도,상세주소76
R00077,2023-01-04 05:00:00,23139.350868493017,Tue,22,2,15,2023-01-04 09:59:00,49.53897443905209,1681.0,경기도,상세주소77
R00078,2023-01-04 06:00:00,108181.2528347375,Wed,4,25,0,2023-01-04 07:00:00,41.69361688975765,9340.0,인천광역시,상세주소78
R00079,2023-01-04 07:00:00,35644.84879801379,Mon,3,29,15,2023-01-04 09:13:00,50.17994078194458,2557.0,인천광역시,상세주소79
R00080,2023-01-04 08:00:00,259067.92433680248,Sun,13,13,36,2023-01-04 11:19:00,27.674311918238608,33700.0,서울특별시,상세주소80
R00081,2023-01-04 09:00:00,187366.1399214398,Sat,9,6,2,2023-01-04 12:35:00,16.548460376980778,40760.0,경기도,상세주소81
R00082,2023-01-04 10:00:00,99938.50943094211,Mon,16,21,46,2023-01-04 12:37:00,58.34929221358282,6165.0,서울특별시,상세주소82
R00083,2023-01-04 11:00:00,20003.946735521065,Mon,9,26,30,2023-01-04 14:59:00,58.65404243312881,1227.0,서울특별시,상세주소83
R00084,2023-01-04 12:00:00,93983.714192983,Tue,6,6,12,2023-01-04 16:42:00,65.12923569073332,5194.0,경기도,상세주소84
R00085,2023-01-04 13:00:00,98229.81328599737,Sat,15,9,15,2023-01-04 13:48:00,58.250516305488546,6070.0,서울특별시,상세주소85
R00086,2023-01-04 14:00:00,219152.24732308116,Sat,0,16,42,2023-01-04 17:49:00,106.58506248211646,7402.0,서울특별시,상세주소86
R00087,2023-01-04 15:00:00,191629.6839352087,Sat,16,11,20,2023-01-04 19:09:00,63.36818686545394,10886.0,경기도,상세주소87
R00088,2023-01-04 16:00:00,266276.61003032164,Tue,20,7,1,2023-01-04 18:45:00,32.4707428776679,29521.0,강원도,상세주소88
R00089,2023-01-04 17:00:00,142192.26262342284,Mon,8,10,26,2023-01-04 21:12:00,37.601702885948335,13613.0,인천광역시,상세주소89
R00090,2023-01-04 18:00:00,36758.67953555221,Tue,5,10,37,2023-01-04 18:32:00,60.00609338697456,2205.0,경기도,상세주소90
R00091,2023-01-04 19:00:00,214260.1913796755,Fri,18,30,25,2023-01-04 23:25:00,51.29146764883059,15038.0,서울특별시,상세주소91
R00092,2023-01-04 20:00:00,228474.72953645233,Fri,12,25,37,2023-01-05 00:17:00,35.43040205673071,23214.0,경기도,상세주소92
R00093,2023-01-04 21:00:00,168821.88207327938,Tue,2,20,45,2023-01-04 23:51:00,58.82303834734274,10331.0,충청남도,상세주소93
R00094,2023-01-04 22:00:00,231519.18680641372,Sat,6,18,24,2023-01-04 22:38:00,59.11551541235316,14098.0,서울특별시,상세주소94
R00095,2023-01-04 23:00:00,148644.88331295282,Mon,21,28,10,2023-01-05 02:39:00,91.9138746699343,5821.0,경기도,상세주소95
R00096,2023-01-05 00:00:00,157297.11598521622,Tue,8,24,7,2023-01-05 03:14:00,41.67820585755808,13586.0,경기도,상세주소96
R00097,2023-01-05 01:00:00,128834.76448920634,Tue,21,20,7,2023-01-05 03:48:00,51.64544388183654,8980.0,경기도,상세주소97
R00098,2023-01-05 02:00:00,8600.318896484461,Tue,4,29,32,2023-01-05 03:22:00,91.85232778191263,337.0,서울특별시,상세주소98
R00099,2023-01-05 03:00:00,33259.53667099803,Wed,9,9,6,2023-01-05 06:24:00,66.57172415861218,1798.0,인천광역시,상세주소99
R00100,2023-01-05 04:00:00,10397.326520333541,Fri,22,15,37,2023-01-05 06:19:00,41.56090544961236,900.0,경기도,상세주소100
R00101,2023-01-05 05:00:00,191286.71296787035,Sun,16,4,20,2023-01-05 08:52:00,45.70535630978182,15066.0,경기도,상세주소101
R00102,2023-01-05 06:00:00,94992.43834182167,Sat,11,8,7,2023-01-05 08:45:00,35.71682489930677,9574.0,경기도,상세주소102
R00103,2023-01-05 07:00:00,153062.63665824613,Thu,22,9,20,2023-01-05 07:33:00,61.545452553473204,8953.0,경기도,상세주소103
R00104,2023-01-05 08:00:00,272362.3757039018,Sun,15,13,19,2023-01-05 11:04:00,80.62319969671341,12161.0,경기도,상세주소104
R00105,2023-01-05 09:00:00,75538.3765155136,Sat,2,9,7,2023-01-05 12:21:00,92.61802551264651,2936.0,서울특별시,상세주소105
R00106,2023-01-05 10:00:00,123704.49398765329,Thu,21,26,45,2023-01-05 11:16:00,30.274365381304456,14710.0,서울특별시,상세주소106
R00107,2023-01-05 11:00:00,226909.79042437155,Wed,8,4,30,2023-01-05 13:03:00,77.3823447396666,10556.0,-,상세주소107
R00108,2023-01-05 12:00:00,69410.65148199511,Tue,14,17,49,2023-01-05 13:17:00,63.28625595601097,3948.0,강원도,상세주소108
R00109,2023-01-05 13:00:00,24016.993038809105,Wed,4,16,28,2023-01-05 17:29:00,54.76139270326505,1578.0,서울특별시,상세주소109
R00110,2023-01-05 14:00:00,87635.68442121665,Wed,22,15,47,2023-01-05 18:02:00,51.65323920241367,6107.0,인천광역시,상세주소110
R00111,2023-01-05 15:00:00,49205.16488894732,Sun,12,3,8,2023-01-05 17:48:00,21.581363282105713,8207.0,-,상세주소111
R00112,2023-01-05 16:00:00,278979.59805042937,Mon,13,25,14,2023-01-05 19:54:00,72.75997258136492,13803.0,경기도,상세주소112
R00113,2023-01-05 17:00:00,242627.99348976067,Sun,19,20,29,2023-01-05 18:42:00,33.622864483133014,25978.0,경기도,상세주소113
R00114,2023-01-05 18:00:00,190387.72319661663,Fri,14,5,25,2023-01-05 18:33:00,45.03608369884583,15218.0,경기도,상세주소114
R00115,2023-01-05 19:00:00,261566.7164661276,Thu,15,23,9,2023-01-05 20:45:00,68.35969269106593,13774.0,서울특별시,상세주소115
R00116,2023-01-05 20:00:00,241297.95099283522,Tue,22,5,28,2023-01-05 21:46:00,23.66728859101788,36703.0,인천광역시,상세주소116
R00117,2023-01-05 21:00:00,56784.44760692472,Sun,12,20,15,2023-01-06 01:45:00,33.58412114370601,6086.0,경기도,상세주소117
R00118,2023-01-05 22:00:00,267875.1405485034,Thu,16,15,35,2023-01-06 00:11:00,84.3732531828708,11429.0,서울특별시,상세주소118
R00119,2023-01-05 23:00:00,162263.33033277956,Sat,22,18,19,2023-01-06 01:15:00,62.44117759145459,9355.0,서울특별시,상세주소119
R00120,2023-01-06 00:00:00,242424.6063940547,Thu,7,15,44,2023-01-06 01:08:00,46.75597265751254,18665.0,경기도,상세주소120
R00121,2023-01-06 01:00:00,268931.2986771245,Sat,20,2,36,2023-01-06 02:57:00,62.51992308607019,15485.0,경기도,상세주소121
R00122,2023-01-06 02:00:00,96083.0390165873,Sun,1,29,21,2023-01-06 06:00:00,73.38952675019473,4713.0,경기도,상세주소122
R00123,2023-01-06 03:00:00,33905.52543377535,Fri,4,13,6,2023-01-06 04:46:00,82.49535782475354,1479.0,경기도,상세주소123
R00124,2023-01-06 04:00:00,69152.61360004057,Sun,5,4,22,2023-01-06 05:46:00,37.75129649280423,6594.0,충청남도,상세주소124
R00125,2023-01-06 05:00:00,128705.22879925063,Sat,11,10,40,2023-01-06 05:57:00,39.50323674175644,11729.0,충청남도,상세주소125
R00126,2023-01-06 06:00:00,245586.41501082544,Thu,17,13,39,2023-01-06 10:34:00,72.16686597357455,12250.0,충청남도,상세주소126
R00127,2023-01-06 07:00:00,,Thu,21,10,28,2023-01-06 08:35:00,72.80825137000203,12774.0,인천광역시,상세주소127
R00128,2023-01-06 08:00:00,3078.68702882602,Sat,21,29,15,2023-01-06 12:55:00,33.12062036459767,334.0,인천광역시,상세주소128
R00129,2023-01-06 09:00:00,153713.44347069215,Wed,0,9,37,2023-01-06 12:54:00,40.25378649022406,13746.0,서울특별시,상세주소129
R00130,2023-01-06 10:00:00,125805.88994148491,Fri,16,8,27,2023-01-06 11:27:00,56.12505398277092,8069.0,서울특별시,상세주소130
R00131,2023-01-06 11:00:00,67410.23533074834,Mon,10,3,47,2023-01-06 14:50:00,60.471524888610226,4013.0,서울특별시,상세주소131
R00132,2023-01-06 12:00:00,36839.74483277116,Tue,9,16,37,2023-01-06 16:14:00,61.03859754609063,2172.0,서울특별시,상세주소132
R00133,2023-01-06 13:00:00,101946.93624968476,Thu,18,14,30,2023-01-06 15:51:00,32.81352386635122,11184.0,경기도,상세주소133
R00134,2023-01-06 14:00:00,282930.0014698432,Tue,13,9,13,2023-01-06 15:53:00,60.83655541006976,16742.0,인천광역시,상세주소134
R00135,2023-01-06 15:00:00,97637.67667420581,Mon,9,30,32,2023-01-06 17:52:00,45.652586102591144,7699.0,경기도,상세주소135
R00136,2023-01-06 16:00:00,156118.39590126646,Sun,14,21,8,2023-01-06 17:02:00,36.67364746819341,15325.0,서울특별시,상세주소136
R00137,2023-01-06 17:00:00,211202.66870965817,Tue,18,11,26,2023-01-06 20:01:00,59.78007903177262,12718.0,서울특별시,상세주소137
R00138,2023-01-06 18:00:00,109725.2511114089,Mon,3,3,23,2023-01-06 21:07:00,57.74012740624636,6841.0,경기도,상세주소138
R00139,2023-01-06 19:00:00,291562.84273356723,Sat,1,5,12,2023-01-06 21:50:00,76.03386476511953,13804.0,-,상세주소139
R00140,2023-01-06 20:00:00,288771.7411876913,Wed,8,29,25,2023-01-07 00:40:00,42.780632654730894,24300.0,경기도,상세주소140
R00141,2023-01-06 21:00:00,76282.90645178389,Thu,9,10,28,2023-01-06 23:21:00,64.70340873957161,,경기도,상세주소141
R00142,2023-01-06 22:00:00,149677.30326182325,Mon,10,13,48,2023-01-07 00:53:00,28.626496231428188,18823.0,경기도,상세주소142
R00143,2023-01-06 23:00:00,90962.61463521412,Tue,13,4,42,2023-01-07 02:58:00,54.50288645574953,6008.0,충청남도,상세주소143
R00144,2023-01-07 00:00:00,86167.30781886281,Thu,6,24,27,2023-01-07 04:13:00,69.27355669991312,4477.0,서울특별시,상세주소144
R00145,2023-01-07 01:00:00,12029.197259005306,Wed,22,13,27,2023-01-07 02:12:00,70.96042454238263,610.0,서울특별시,상세주소145
R00146,2023-01-07 02:00:00,183259.73585998916,Sat,14,12,7,2023-01-07 06:53:00,71.09667591937284,9279.0,충청남도,상세주소146
R00147,2023-01-07 03:00:00,151301.02794542958,Sun,21,5,22,2023-01-07 07:33:00,76.08751594500664,7158.0,경기도,상세주소147
R00148,2023-01-07 04:00:00,16392.146623746816,Thu,18,10,28,2023-01-07 04:32:00,51.0842033229508,1155.0,경기도,상세주소148
R00149,2023-01-07 05:00:00,84315.29280674682,Sun,21,28,4,2023-01-07 07:34:00,69.91450876845929,4341.0,경기도,상세주소149
R00150,2023-01-07 06:00:00,272571.4999040295,Mon,14,24,41,2023-01-07 10:57:00,97.37489525083244,10077.0,인천광역시,상세주소150
R00151,2023-01-07 07:00:00,72629.00530942476,Wed,23,9,6,2023-01-07 08:53:00,50.657347007883416,5161.0,서울특별시,상세주소151
R00152,2023-01-07 08:00:00,44323.56675527571,Tue,7,20,41,2023-01-07 08:45:00,87.60396031796063,1821.0,경기도,상세주소152
R00153,2023-01-07 09:00:00,147346.37532299134,Wed,10,7,35,2023-01-07 10:28:00,77.52945911083404,6841.0,경기도,상세주소153
R00154,2023-01-07 10:00:00,295709.4857790696,Wed,8,2,40,2023-01-07 13:26:00,54.67353135314305,19471.0,경기도,상세주소154
R00155,2023-01-07 11:00:00,73374.52618193862,Fri,14,22,26,2023-01-07 12:32:00,56.342489976447794,4688.0,서울특별시,상세주소155
R00156,2023-01-07 12:00:00,201968.5286743577,Wed,0,24,45,2023-01-07 13:18:00,62.36804719334439,11658.0,경기도,상세주소156
R00157,2023-01-07 13:00:00,228724.26498328656,Wed,0,28,1,2023-01-07 17:35:00,76.403299880632,10777.0,경기도,상세주소157
R00158,2023-01-07 14:00:00,72053.6256537275,Thu,18,23,24,2023-01-07 14:44:00,68.05269263067026,3811.0,경기도,상세주소158
R00159,2023-01-07 15:00:00,218736.68823494602,Tue,2,7,8,2023-01-07 19:44:00,50.50004805563635,15593.0,서울특별시,상세주소159
R00160,2023-01-07 16:00:00,110967.15668305672,Thu,9,8,26,2023-01-07 18:01:00,18.35893996475744,21759.0,서울특별시,상세주소160
R00161,2023-01-07 17:00:00,190059.44334748026,Thu,7,7,0,2023-01-07 20:55:00,73.44347917837638,9316.0,서울특별시,상세주소161
R00162,2023-01-07 18:00:00,190425.38351750752,Mon,14,21,22,2023-01-07 20:03:00,21.350045499126153,32109.0,서울특별시,상세주소162
R00163,2023-01-07 19:00:00,161196.6305383528,Thu,9,23,9,2023-01-07 23:14:00,32.68040586099809,17757.0,서울특별시,상세주소163
R00164,2023-01-07 20:00:00,27996.641246268082,Fri,0,29,41,2023-01-07 23:48:00,51.95045610596642,1940.0,-,상세주소164
R00165,2023-01-07 21:00:00,250755.44618118217,Fri,17,14,24,2023-01-08 01:23:00,35.718428006619206,25273.0,경기도,상세주소165
R00166,2023-01-07 22:00:00,96913.23942654901,Sun,1,26,2,2023-01-07 23:15:00,66.35056855606983,5258.0,서울특별시,상세주소166
R00167,2023-01-07 23:00:00,56769.03460955642,Mon,18,19,5,2023-01-08 00:33:00,54.07623600765474,3779.0,서울특별시,상세주소167
R00168,2023-01-08 00:00:00,13191.76732487441,Sun,12,5,5,2023-01-08 04:19:00,75.70461960844911,627.0,경기도,상세주소168
R00169,2023-01-08 01:00:00,177676.9900132843,Sun,21,23,1,2023-01-08 05:38:00,27.845649335586522,22970.0,인천광역시,상세주소169
R00170,2023-01-08 02:00:00,203591.74419084244,Sat,0,25,17,2023-01-08 06:35:00,46.76204567626404,15673.0,경기도,상세주소170
R00171,2023-01-08 03:00:00,5959.76084942899,Tue,1,18,22,2023-01-08 04:44:00,60.08398754658458,357.0,경기도,상세주소171
R00172,2023-01-08 04:00:00,154115.824431485,Tue,15,20,1,2023-01-08 07:06:00,60.85456261011912,9117.0,경기도,상세주소172
R00173,2023-01-08 05:00:00,68722.23678418345,Thu,14,12,11,2023-01-08 09:12:00,73.88072810953443,3348.0,경기도,상세주소173
R00174,2023-01-08 06:00:00,193906.6643324255,Thu,12,23,21,2023-01-08 09:39:00,41.708228392129115,16736.0,서울특별시,상세주소174
R00175,2023-01-08 07:00:00,53135.56227249244,Sat,15,17,36,2023-01-08 08:21:00,50.639794299940014,3777.0,서울특별시,상세주소175
R00176,2023-01-08 08:00:00,,Thu,16,13,19,2023-01-08 09:57:00,70.14699321760739,10653.0,인천광역시,상세주소176
R00177,2023-01-08 09:00:00,116633.86854386069,Tue,20,2,38,2023-01-08 10:35:00,16.028785212859788,26195.0,인천광역시,상세주소177
R00178,2023-01-08 10:00:00,281082.26663228363,Sun,6,25,23,2023-01-08 12:59:00,67.69870503784585,14947.0,경기도,상세주소178
R00179,2023-01-08 11:00:00,42118.76229965198,Wed,23,13,47,2023-01-08 11:49:00,75.27897231389845,2014.0,서울특별시,상세주소179
R00180,2023-01-08 12:00:00,102978.8389640273,Fri,16,26,19,2023-01-08 13:02:00,33.326785546435204,11123.0,충청남도,상세주소180
R00181,2023-01-08 13:00:00,34928.58285093613,Wed,6,7,0,2023-01-08 14:15:00,53.69954103429974,2341.0,경기도,상세주소181
R00182,2023-01-08 14:00:00,277483.3918652903,Wed,12,28,0,2023-01-08 15:42:00,89.85319633014294,11117.0,서울특별시,상세주소182
R00183,2023-01-08 15:00:00,263324.4666609133,Tue,4,10,16,2023-01-08 17:42:00,73.19656595462295,12950.0,인천광역시,상세주소183
R00184,2023-01-08 16:00:00,78124.54668683153,Wed,16,23,0,2023-01-08 17:24:00,68.93944545941733,4079.0,서울특별시,상세주소184
R00185,2023-01-08 17:00:00,198335.22976421952,Sat,2,6,44,2023-01-08 18:30:00,79.81918630248973,8945.0,경기도,상세주소185
R00186,2023-01-08 18:00:00,245349.43786016354,Mon,6,3,29,2023-01-08 18:37:00,96.09090235225005,9191.0,경기도,상세주소186
R00187,2023-01-08 19:00:00,167005.04266823924,Thu,16,26,40,2023-01-08 23:35:00,60.37068139636744,9958.0,서울특별시,상세주소187
R00188,2023-01-08 20:00:00,159365.52292844595,Mon,6,3,46,2023-01-08 23:25:00,51.85621991555951,11063.0,-,상세주소188
R00189,2023-01-08 21:00:00,73313.83497923505,Sun,20,18,2,2023-01-08 23:25:00,79.77076821947864,3308.0,경기도,상세주소189
R00190,2023-01-08 22:00:00,28837.727573963864,Fri,0,11,45,2023-01-09 01:42:00,56.250937281009804,1845.0,-,상세주소190
R00191,2023-01-08 23:00:00,269267.5116280447,Thu,16,22,10,2023-01-09 01:59:00,41.439626839621134,23392.0,경기도,상세주소191
R00192,2023-01-09 00:00:00,270224.9990918358,Wed,16,20,23,2023-01-09 02:40:00,49.198674940255145,19773.0,경기도,상세주소192
