number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
50,철근콘크리트,2.0,1.0,2.0,10.0,26.8
51,목조,1.0,1.0,11.0,5.0,23.3
52,,2.0,0.0,7.0,2.0,31.4
53,목조,2.0,1.0,12.0,3.0,24.1
54,철근콘크리트,1.0,3.0,9.0,8.0,34.4
55,목조,2.0,1.0,0.0,9.0,33.4
56,벽돌,2.0,0.0,0.0,2.0,30.5
57,벽돌,1.0,3.0,13.0,2.0,26.2
58,목조,2.0,2.0,5.0,2.0,30.0
59,목조,2.0,2.0,11.0,9.0,42.7
60,벽돌,2.0,3.0,9.0,7.0,33.0
61,철근콘크리트,1.0,3.0,4.0,4.0,22.4
62,벽돌,2.0,1.0,12.0,9.0,28.3
63,철근콘크리트,2.0,2.0,1.0,4.0,25.7
64,철근콘크리트,2.0,1.0,11.0,6.0,21.6
65,목조,2.0,,10.0,7.0,30.8
66,벽돌,2.0,,5.0,2.0,25.4
67,,1.0,2.0,7.0,2.0,17.6
68,목조,2.0,1.0,13.0,3.0,33.4
69,벽돌,1.0,1.0,8.0,5.0,24.7
70,벽돌,2.0,1.0,8.0,5.0,33.1
71,철근콘크리트,2.0,1.0,6.0,4.0,28.1
72,벽돌,2.0,,12.0,3.0,19.6
73,철근콘크리트,2.0,1.0,4.0,3.0,20.9
74,철근콘크리트,2.0,1.0,10.0,4.0,25.0
75,벽돌,2.0,3.0,8.0,7.0,25.0
76,철근콘크리트,2.0,2.0,7.0,9.0,36.6
77,철근콘크리트,2.0,0.0,13.0,4.0,24.6
78,벽돌,1.0,3.0,14.0,5.0,26.7
79,목조,2.0,3.0,5.0,5.0,27.1
80,철근콘크리트,2.0,2.0,2.0,10.0,34.2
81,목조,1.0,0.0,10.0,1.0,9.8
82,목조,1.0,3.0,5.0,7.0,30.5
83,목조,2.0,0.0,8.0,1.0,22.8
84,목조,1.0,3.0,14.0,5.0,16.1
85,벽돌,2.0,3.0,7.0,2.0,27.5
86,목조,2.0,2.0,12.0,2.0,36.5
87,목조,2.0,2.0,4.0,1.0,36.2
88,철근콘크리트,2.0,3.0,7.0,9.0,41.7
89,목조,2.0,3.0,3.0,5.0,33.5
90,목조,2.0,3.0,14.0,1.0,23.2
91,목조,2.0,2.0,14.0,8.0,36.8
92,목조,,2.0,0.0,4.0,27.9
93,목조,2.0,2.0,10.0,10.0,38.9
94,벽돌,1.0,0.0,12.0,3.0,12.0
95,철근콘크리트,,3.0,11.0,8.0,35.2
96,벽돌,1.0,3.0,1.0,1.0,29.0
97,벽돌,3.0,2.0,12.0,10.0,30.9
98,벽돌,2.0,3.0,9.0,9.0,44.2
99,목조,2.0,1.0,4.0,1.0,31.0
100,벽돌,2.0,1.0,9.0,5.0,31.9
101,벽돌,1.0,0.0,7.0,4.0,21.5
102,철근콘크리트,2.0,0.0,12.0,2.0,17.2
103,목조,1.0,3.0,5.0,7.0,24.8
104,벽돌,1.0,2.0,1.0,3.0,28.1
105,철근콘크리트,2.0,1.0,9.0,10.0,26.7
106,목조,2.0,0.0,9.0,7.0,33.0
107,목조,2.0,0.0,14.0,4.0,23.8
108,철근콘크리트,2.0,3.0,3.0,6.0,42.4
109,목조,2.0,3.0,1.0,5.0,23.1
110,벽돌,1.0,2.0,2.0,1.0,18.1
111,벽돌,1.0,3.0,3.0,4.0,26.1
112,벽돌,2.0,2.0,13.0,4.0,19.7
113,벽돌,1.0,1.0,9.0,2.0,18.1
114,,2.0,0.0,14.0,7.0,27.8
115,목조,1.0,1.0,3.0,8.0,15.3
116,목조,2.0,1.0,7.0,4.0,27.5
117,철근콘크리트,1.0,0.0,13.0,1.0,19.8
118,철근콘크리트,2.0,3.0,5.0,7.0,34.1
119,목조,1.0,0.0,13.0,6.0,19.5
120,벽돌,2.0,3.0,11.0,10.0,34.2
121,벽돌,1.0,2.0,6.0,1.0,27.8
122,철근콘크리트,2.0,,5.0,4.0,23.7
123,벽돌,2.0,1.0,10.0,2.0,22.9
124,철근콘크리트,2.0,0.0,12.0,9.0,21.8
125,벽돌,2.0,3.0,9.0,5.0,28.2
126,철근콘크리트,2.0,0.0,12.0,8.0,26.8
127,철근콘크리트,3.0,2.0,9.0,9.0,42.7
128,,1.0,2.0,2.0,2.0,19.3
129,목조,2.0,2.0,0.0,5.0,30.4
130,벽돌,1.0,1.0,6.0,6.0,24.7
131,목조,1.0,0.0,5.0,3.0,13.3
132,목조,2.0,1.0,5.0,5.0,14.8
133,벽돌,2.0,1.0,13.0,3.0,23.4
134,목조,2.0,1.0,3.0,6.0,30.0
135,벽돌,2.0,0.0,7.0,7.0,30.4
136,철근콘크리트,2.0,2.0,10.0,10.0,27.4
137,목조,2.0,3.0,2.0,5.0,37.6
138,철근콘크리트,1.0,2.0,13.0,5.0,25.3
139,벽돌,1.0,3.0,1.0,3.0,22.3
140,벽돌,2.0,2.0,3.0,1.0,32.0
141,목조,2.0,0.0,13.0,7.0,29.6
142,철근콘크리트,2.0,2.0,11.0,6.0,42.5
143,목조,2.0,1.0,11.0,6.0,25.1
144,목조,2.0,1.0,12.0,2.0,30.0
145,철근콘크리트,1.0,1.0,7.0,2.0,21.8
146,벽돌,2.0,3.0,1.0,7.0,34.1
147,벽돌,1.0,1.0,13.0,9.0,17.6
148,목조,2.0,0.0,6.0,2.0,21.8
149,철근콘크리트,2.0,0.0,8.0,4.0,19.1
150,벽돌,3.0,0.0,7.0,4.0,23.8
151,철근콘크리트,3.0,2.0,6.0,8.0,45.2
152,철근콘크리트,3.0,3.0,12.0,1.0,28.0
153,벽돌,1.0,2.0,14.0,3.0,26.2
154,목조,2.0,0.0,5.0,1.0,19.3
155,철근콘크리트,1.0,1.0,5.0,2.0,20.6
156,철근콘크리트,2.0,3.0,14.0,3.0,29.4
157,철근콘크리트,2.0,0.0,12.0,3.0,21.7
158,벽돌,2.0,3.0,9.0,5.0,17.4
159,목조,3.0,0.0,7.0,5.0,35.3
160,철근콘크리트,2.0,2.0,13.0,9.0,24.7
161,목조,2.0,3.0,2.0,7.0,34.5
162,철근콘크리트,2.0,1.0,4.0,1.0,25.9
163,철근콘크리트,2.0,2.0,0.0,5.0,35.2
164,철근콘크리트,2.0,1.0,7.0,10.0,41.0
165,철근콘크리트,2.0,3.0,14.0,7.0,36.4
166,철근콘크리트,2.0,0.0,5.0,7.0,22.3
167,목조,2.0,3.0,1.0,5.0,30.8
168,벽돌,2.0,0.0,7.0,7.0,25.4
169,벽돌,,0.0,12.0,6.0,31.3
170,철근콘크리트,1.0,0.0,14.0,7.0,22.8
171,벽돌,1.0,0.0,14.0,7.0,27.6
172,목조,2.0,3.0,14.0,5.0,29.9
173,철근콘크리트,2.0,3.0,0.0,8.0,31.7
174,벽돌,2.0,1.0,1.0,5.0,31.8
175,목조,2.0,2.0,11.0,8.0,30.5
176,철근콘크리트,,0.0,0.0,1.0,21.6
177,목조,2.0,1.0,13.0,6.0,23.2
178,철근콘크리트,1.0,0.0,0.0,7.0,12.4
179,철근콘크리트,2.0,2.0,1.0,9.0,36.2
180,목조,2.0,3.0,6.0,10.0,39.7
181,목조,1.0,1.0,2.0,7.0,19.5
182,목조,1.0,,12.0,8.0,20.2
183,벽돌,2.0,0.0,13.0,1.0,28.6
184,목조,2.0,2.0,4.0,2.0,35.2
185,목조,1.0,2.0,3.0,2.0,28.2
186,철근콘크리트,1.0,1.0,12.0,7.0,23.9
187,목조,2.0,2.0,7.0,1.0,35.9
188,벽돌,1.0,1.0,7.0,5.0,11.8
189,벽돌,3.0,2.0,8.0,7.0,29.1
190,벽돌,2.0,1.0,3.0,4.0,25.1
191,목조,2.0,2.0,11.0,9.0,36.9
192,목조,1.0,2.0,13.0,4.0,18.8
193,철근콘크리트,1.0,1.0,1.0,3.0,15.0
194,목조,2.0,2.0,3.0,4.0,24.3
195,목조,1.0,0.0,1.0,5.0,24.2
196,벽돌,3.0,3.0,2.0,8.0,36.6
197,벽돌,1.0,3.0,4.0,3.0,27.0
198,목조,2.0,0.0,5.0,10.0,24.6
199,철근콘크리트,1.0,1.0,9.0,2.0,20.3
200,목조,2.0,1.0,5.0,5.0,29.1
201,목조,2.0,0.0,14.0,7.0,27.5
202,벽돌,1.0,2.0,1.0,1.0,25.4
203,목조,2.0,0.0,8.0,7.0,29.8
204,벽돌,1.0,3.0,5.0,5.0,27.2
205,목조,3.0,3.0,4.0,9.0,34.3
206,벽돌,3.0,3.0,7.0,3.0,40.1
207,벽돌,2.0,3.0,11.0,4.0,25.2
208,철근콘크리트,3.0,1.0,10.0,2.0,24.9
209,철근콘크리트,3.0,1.0,2.0,3.0,33.5
210,철근콘크리트,2.0,2.0,14.0,3.0,23.2
211,목조,2.0,0.0,12.0,6.0,25.0
212,벽돌,2.0,1.0,7.0,8.0,23.2
213,목조,1.0,0.0,5.0,1.0,18.8
214,벽돌,1.0,1.0,9.0,3.0,13.5
215,벽돌,,2.0,14.0,7.0,31.0
216,목조,2.0,1.0,4.0,7.0,30.0
217,철근콘크리트,2.0,1.0,2.0,9.0,30.1
218,벽돌,2.0,2.0,10.0,6.0,32.6
219,철근콘크리트,3.0,2.0,9.0,1.0,36.2
220,목조,1.0,3.0,8.0,7.0,28.7
221,벽돌,1.0,2.0,4.0,9.0,34.7
222,철근콘크리트,2.0,0.0,10.0,2.0,22.0
223,철근콘크리트,,,7.0,10.0,23.5
224,목조,3.0,0.0,2.0,8.0,40.2
225,벽돌,2.0,3.0,14.0,8.0,32.9
226,벽돌,1.0,3.0,7.0,9.0,16.5
227,목조,1.0,3.0,4.0,1.0,32.6
228,철근콘크리트,1.0,2.0,4.0,6.0,25.9
229,벽돌,1.0,1.0,13.0,4.0,15.8
230,철근콘크리트,3.0,2.0,0.0,10.0,37.2
231,벽돌,3.0,1.0,13.0,2.0,26.7
232,목조,3.0,1.0,6.0,10.0,26.1
233,벽돌,2.0,1.0,14.0,9.0,19.4
234,철근콘크리트,2.0,2.0,4.0,8.0,39.8
235,목조,1.0,1.0,11.0,7.0,25.5
236,벽돌,2.0,3.0,10.0,4.0,31.2
237,벽돌,2.0,3.0,14.0,6.0,27.9
238,목조,3.0,2.0,1.0,5.0,44.1
239,철근콘크리트,1.0,2.0,11.0,5.0,31.0
240,벽돌,2.0,2.0,2.0,10.0,22.8
241,철근콘크리트,2.0,1.0,3.0,9.0,19.3
242,벽돌,1.0,3.0,5.0,1.0,16.5
243,철근콘크리트,2.0,0.0,12.0,8.0,27.4
244,목조,2.0,0.0,12.0,10.0,33.5
245,벽돌,3.0,2.0,4.0,5.0,29.7
246,벽돌,2.0,2.0,4.0,3.0,33.2
247,,2.0,0.0,0.0,1.0,27.2
248,철근콘크리트,1.0,3.0,12.0,5.0,27.1
249,목조,2.0,3.0,10.0,7.0,29.7
250,벽돌,2.0,1.0,8.0,7.0,20.1
251,철근콘크리트,2.0,3.0,1.0,10.0,38.8
252,벽돌,1.0,2.0,9.0,10.0,32.7
253,벽돌,2.0,2.0,6.0,2.0,15.4
254,철근콘크리트,1.0,3.0,3.0,5.0,28.0
255,목조,2.0,2.0,9.0,7.0,33.1
256,목조,2.0,1.0,7.0,4.0,21.5
257,벽돌,1.0,0.0,9.0,8.0,16.0
258,철근콘크리트,2.0,0.0,8.0,5.0,25.8
259,벽돌,2.0,0.0,3.0,2.0,27.4
260,목조,1.0,0.0,7.0,1.0,19.9
261,철근콘크리트,2.0,3.0,2.0,3.0,36.7
262,철근콘크리트,2.0,2.0,1.0,8.0,30.4
263,벽돌,2.0,3.0,2.0,1.0,26.5
264,철근콘크리트,2.0,1.0,10.0,3.0,34.4
265,목조,2.0,3.0,7.0,2.0,29.2
266,철근콘크리트,1.0,1.0,3.0,6.0,18.7
267,철근콘크리트,3.0,0.0,9.0,8.0,32.8
268,목조,2.0,0.0,8.0,1.0,28.6
269,목조,1.0,0.0,14.0,8.0,25.8
270,벽돌,2.0,3.0,12.0,10.0,35.0
271,벽돌,2.0,,1.0,3.0,27.8
272,철근콘크리트,2.0,0.0,7.0,9.0,29.2
273,목조,1.0,3.0,10.0,5.0,23.0
274,벽돌,2.0,0.0,12.0,8.0,18.7
275,목조,2.0,0.0,4.0,5.0,30.2
276,목조,2.0,1.0,5.0,5.0,32.9
277,벽돌,2.0,2.0,0.0,4.0,34.5
278,철근콘크리트,2.0,3.0,7.0,10.0,33.3
279,목조,1.0,2.0,6.0,6.0,22.0
280,철근콘크리트,2.0,1.0,14.0,2.0,32.7
281,목조,1.0,0.0,3.0,3.0,14.9
282,벽돌,1.0,3.0,3.0,2.0,30.6
283,벽돌,1.0,0.0,2.0,4.0,26.6
284,목조,2.0,3.0,6.0,6.0,41.1
285,벽돌,3.0,2.0,3.0,6.0,40.0
286,목조,1.0,2.0,10.0,6.0,30.1
287,벽돌,2.0,1.0,4.0,5.0,30.3
288,철근콘크리트,1.0,2.0,7.0,3.0,24.1
289,목조,2.0,,3.0,8.0,33.0
290,목조,3.0,0.0,2.0,2.0,24.4
291,철근콘크리트,2.0,2.0,11.0,8.0,33.9
292,목조,1.0,0.0,14.0,7.0,21.7
293,벽돌,,3.0,1.0,6.0,31.4
294,목조,2.0,3.0,8.0,5.0,31.0
295,철근콘크리트,1.0,3.0,7.0,6.0,22.1
296,벽돌,2.0,1.0,12.0,1.0,20.4
297,철근콘크리트,3.0,3.0,7.0,4.0,34.3
298,철근콘크리트,2.0,3.0,1.0,3.0,29.8
299,벽돌,1.0,0.0,11.0,9.0,12.2
300,철근콘크리트,2.0,0.0,5.0,3.0,18.6
301,목조,1.0,0.0,1.0,7.0,23.5
302,목조,3.0,1.0,11.0,3.0,26.1
303,철근콘크리트,2.0,1.0,5.0,7.0,40.2
304,철근콘크리트,2.0,0.0,6.0,2.0,20.0
305,,2.0,2.0,8.0,2.0,33.6
306,목조,1.0,0.0,10.0,9.0,17.3
307,철근콘크리트,2.0,0.0,14.0,1.0,21.2
308,벽돌,1.0,3.0,1.0,7.0,27.0
309,철근콘크리트,2.0,3.0,1.0,8.0,34.9
310,벽돌,1.0,2.0,8.0,6.0,28.6
311,벽돌,1.0,2.0,0.0,5.0,26.9
312,벽돌,1.0,0.0,8.0,7.0,23.0
313,철근콘크리트,1.0,0.0,2.0,8.0,21.7
314,목조,1.0,,8.0,2.0,16.4
315,철근콘크리트,2.0,2.0,4.0,4.0,34.1
316,목조,1.0,1.0,11.0,9.0,29.8
317,철근콘크리트,2.0,1.0,5.0,3.0,29.4
318,,2.0,3.0,14.0,8.0,32.9
319,철근콘크리트,1.0,2.0,12.0,6.0,24.7
320,,2.0,2.0,11.0,1.0,30.4
321,목조,1.0,1.0,0.0,8.0,14.4
322,벽돌,2.0,1.0,14.0,8.0,38.7
323,벽돌,2.0,3.0,13.0,4.0,25.5
324,벽돌,3.0,0.0,5.0,9.0,35.4
325,목조,2.0,3.0,13.0,8.0,36.5
326,철근콘크리트,1.0,0.0,9.0,6.0,22.3
327,벽돌,2.0,2.0,8.0,8.0,37.1
328,,2.0,,10.0,9.0,26.8
329,벽돌,2.0,2.0,12.0,9.0,34.5
330,철근콘크리트,2.0,3.0,14.0,4.0,40.8
331,벽돌,1.0,3.0,14.0,9.0,33.3
332,철근콘크리트,2.0,2.0,9.0,3.0,29.0
333,철근콘크리트,2.0,0.0,6.0,1.0,23.8
334,목조,3.0,3.0,9.0,8.0,44.7
335,철근콘크리트,2.0,0.0,2.0,6.0,27.5
336,벽돌,2.0,2.0,2.0,10.0,20.4
337,목조,2.0,0.0,10.0,2.0,24.5
338,철근콘크리트,3.0,3.0,10.0,5.0,30.3
339,철근콘크리트,2.0,0.0,0.0,5.0,22.2
340,벽돌,1.0,1.0,14.0,8.0,33.7
341,목조,2.0,0.0,6.0,9.0,27.5
342,목조,2.0,2.0,8.0,9.0,34.2
343,벽돌,2.0,0.0,7.0,1.0,24.0
344,벽돌,2.0,3.0,12.0,7.0,27.2
345,철근콘크리트,2.0,2.0,2.0,10.0,24.4
346,철근콘크리트,1.0,1.0,13.0,2.0,20.3
347,목조,2.0,1.0,5.0,2.0,30.0
348,목조,1.0,2.0,9.0,4.0,25.3
349,벽돌,1.0,1.0,14.0,6.0,16.2
350,목조,2.0,0.0,9.0,1.0,23.0
351,,2.0,3.0,13.0,5.0,46.6
352,목조,1.0,0.0,13.0,2.0,16.1
353,벽돌,1.0,0.0,2.0,3.0,8.4
354,철근콘크리트,2.0,0.0,5.0,6.0,22.7
355,철근콘크리트,2.0,2.0,11.0,3.0,21.7
356,목조,1.0,3.0,4.0,6.0,31.7
357,목조,2.0,,9.0,10.0,37.8
358,목조,1.0,0.0,6.0,4.0,22.1
359,벽돌,2.0,2.0,7.0,4.0,33.1
360,벽돌,1.0,2.0,7.0,3.0,14.9
361,,2.0,3.0,0.0,3.0,30.8
362,벽돌,2.0,1.0,7.0,4.0,20.4
363,철근콘크리트,2.0,1.0,0.0,6.0,31.7
364,목조,1.0,1.0,10.0,6.0,20.6
365,철근콘크리트,2.0,2.0,8.0,7.0,21.5
366,목조,3.0,1.0,7.0,1.0,22.2
367,목조,2.0,2.0,4.0,3.0,30.5
368,철근콘크리트,2.0,0.0,11.0,5.0,34.4
369,벽돌,2.0,1.0,4.0,1.0,23.7
370,목조,,1.0,8.0,8.0,30.3
371,철근콘크리트,2.0,1.0,6.0,2.0,20.3
372,벽돌,2.0,0.0,14.0,10.0,28.7
373,벽돌,1.0,0.0,11.0,9.0,23.1
374,철근콘크리트,1.0,3.0,14.0,6.0,32.3
375,철근콘크리트,2.0,1.0,11.0,6.0,27.2
376,철근콘크리트,2.0,3.0,2.0,3.0,36.4
377,벽돌,2.0,1.0,14.0,3.0,30.1
378,철근콘크리트,2.0,2.0,8.0,4.0,29.7
379,목조,1.0,0.0,4.0,5.0,19.7
380,목조,2.0,0.0,5.0,10.0,26.7
381,벽돌,2.0,1.0,11.0,2.0,27.0
382,목조,1.0,0.0,0.0,4.0,25.9
383,철근콘크리트,2.0,1.0,9.0,9.0,24.7
384,목조,2.0,0.0,0.0,7.0,23.6
385,철근콘크리트,2.0,0.0,3.0,5.0,22.9
386,목조,2.0,2.0,2.0,8.0,35.8
387,철근콘크리트,3.0,1.0,8.0,9.0,27.6
388,벽돌,2.0,0.0,4.0,3.0,27.2
389,철근콘크리트,3.0,1.0,8.0,9.0,36.7
390,목조,2.0,1.0,13.0,5.0,26.0
391,철근콘크리트,2.0,2.0,9.0,2.0,29.3
392,목조,1.0,2.0,12.0,10.0,30.0
393,목조,,2.0,5.0,7.0,29.0
394,목조,3.0,1.0,10.0,10.0,41.9
395,철근콘크리트,2.0,1.0,8.0,1.0,28.4
396,목조,1.0,3.0,3.0,5.0,28.1
397,철근콘크리트,2.0,1.0,13.0,9.0,27.3
398,철근콘크리트,2.0,2.0,1.0,10.0,28.7
399,철근콘크리트,2.0,0.0,9.0,4.0,23.7
400,벽돌,3.0,1.0,6.0,5.0,29.2
401,목조,2.0,1.0,1.0,4.0,27.1
402,벽돌,1.0,3.0,13.0,3.0,30.5
403,목조,1.0,0.0,11.0,9.0,28.7
404,철근콘크리트,2.0,3.0,12.0,4.0,31.9
405,벽돌,1.0,2.0,13.0,8.0,28.0
406,벽돌,1.0,0.0,12.0,10.0,20.2
407,벽돌,1.0,3.0,7.0,9.0,29.2
408,철근콘크리트,2.0,2.0,10.0,5.0,37.3
409,철근콘크리트,2.0,0.0,9.0,3.0,29.2
410,목조,2.0,3.0,5.0,2.0,35.5
411,철근콘크리트,2.0,1.0,3.0,9.0,27.4
412,철근콘크리트,3.0,2.0,6.0,5.0,30.1
413,,1.0,0.0,0.0,5.0,27.3
414,철근콘크리트,1.0,0.0,0.0,8.0,19.1
415,벽돌,1.0,1.0,10.0,3.0,13.2
416,목조,2.0,3.0,6.0,7.0,26.0
417,철근콘크리트,1.0,0.0,2.0,7.0,20.6
418,목조,2.0,1.0,14.0,4.0,20.2
419,목조,2.0,3.0,0.0,9.0,22.5
420,벽돌,2.0,0.0,7.0,3.0,29.9
421,철근콘크리트,3.0,1.0,5.0,6.0,34.5
422,벽돌,2.0,,0.0,10.0,35.6
423,벽돌,1.0,2.0,11.0,2.0,20.6
424,벽돌,2.0,1.0,12.0,2.0,20.1
425,철근콘크리트,2.0,2.0,4.0,4.0,16.7
426,벽돌,1.0,3.0,4.0,4.0,24.1
427,철근콘크리트,2.0,0.0,8.0,6.0,20.5
428,목조,2.0,0.0,9.0,10.0,25.7
429,벽돌,2.0,0.0,1.0,3.0,22.6
430,철근콘크리트,2.0,2.0,12.0,10.0,40.6
431,철근콘크리트,3.0,0.0,3.0,3.0,35.6
432,철근콘크리트,2.0,2.0,2.0,8.0,38.3
433,목조,2.0,2.0,3.0,1.0,25.6
434,철근콘크리트,2.0,0.0,7.0,1.0,25.9
435,,2.0,1.0,4.0,9.0,28.5
436,목조,3.0,,2.0,10.0,27.3
437,철근콘크리트,1.0,0.0,6.0,4.0,15.2
438,벽돌,1.0,1.0,9.0,9.0,23.6
439,철근콘크리트,1.0,0.0,11.0,3.0,20.6
440,벽돌,1.0,3.0,9.0,6.0,31.7
441,벽돌,2.0,0.0,5.0,6.0,15.7
442,벽돌,2.0,2.0,3.0,9.0,29.3
443,목조,2.0,2.0,9.0,7.0,28.7
444,목조,1.0,2.0,10.0,8.0,31.0
445,벽돌,1.0,1.0,4.0,10.0,24.8
446,벽돌,2.0,2.0,3.0,8.0,24.5
447,철근콘크리트,2.0,2.0,0.0,3.0,20.4
448,철근콘크리트,2.0,3.0,7.0,1.0,18.3
449,벽돌,2.0,1.0,10.0,6.0,21.9
450,철근콘크리트,1.0,3.0,5.0,9.0,20.6
451,목조,1.0,0.0,0.0,4.0,26.8
452,목조,,2.0,10.0,2.0,29.6
453,목조,3.0,0.0,3.0,10.0,27.4
454,,2.0,1.0,5.0,5.0,24.5
455,철근콘크리트,2.0,0.0,7.0,6.0,23.9
456,철근콘크리트,2.0,,1.0,6.0,39.3
457,벽돌,2.0,3.0,0.0,8.0,32.7
458,목조,2.0,0.0,14.0,8.0,24.0
459,목조,3.0,3.0,13.0,10.0,39.8
460,철근콘크리트,2.0,3.0,1.0,5.0,28.5
461,목조,2.0,3.0,4.0,5.0,32.8
462,철근콘크리트,2.0,2.0,9.0,6.0,28.4
463,벽돌,1.0,2.0,7.0,10.0,14.6
464,벽돌,2.0,2.0,11.0,7.0,22.8
465,벽돌,1.0,3.0,7.0,10.0,23.3
466,벽돌,2.0,3.0,13.0,10.0,39.2
467,철근콘크리트,1.0,,5.0,9.0,31.9
468,목조,2.0,1.0,1.0,1.0,20.6
469,목조,1.0,3.0,0.0,8.0,25.2
470,벽돌,2.0,,0.0,5.0,25.4
471,목조,3.0,2.0,0.0,10.0,29.6
472,벽돌,2.0,3.0,8.0,1.0,32.2
473,철근콘크리트,2.0,0.0,7.0,5.0,29.0
474,철근콘크리트,2.0,2.0,14.0,2.0,25.4
475,철근콘크리트,2.0,2.0,8.0,5.0,26.2
476,목조,2.0,0.0,12.0,7.0,27.3
477,철근콘크리트,2.0,0.0,6.0,2.0,33.3
478,철근콘크리트,,0.0,13.0,9.0,25.0
479,,2.0,1.0,9.0,9.0,30.1
480,벽돌,2.0,0.0,12.0,6.0,27.5
481,철근콘크리트,2.0,2.0,5.0,6.0,35.2
482,벽돌,2.0,0.0,2.0,4.0,26.2
483,벽돌,2.0,1.0,7.0,3.0,26.0
484,벽돌,2.0,2.0,13.0,5.0,24.2
485,벽돌,1.0,1.0,12.0,6.0,19.5
486,철근콘크리트,2.0,,0.0,8.0,24.0
487,목조,2.0,3.0,3.0,2.0,30.6
488,벽돌,2.0,0.0,10.0,5.0,15.8
489,벽돌,2.0,1.0,1.0,7.0,21.4
490,목조,2.0,2.0,12.0,10.0,41.7
491,철근콘크리트,1.0,2.0,9.0,9.0,28.2
492,목조,2.0,2.0,10.0,9.0,30.7
493,벽돌,2.0,1.0,1.0,6.0,27.3
494,철근콘크리트,2.0,0.0,5.0,6.0,16.1
495,목조,2.0,3.0,9.0,8.0,20.2
496,목조,,1.0,4.0,8.0,28.5
497,벽돌,2.0,1.0,14.0,5.0,21.9
498,벽돌,2.0,1.0,6.0,4.0,30.3
499,철근콘크리트,2.0,1.0,10.0,6.0,24.4
500,벽돌,3.0,0.0,0.0,3.0,31.5
501,벽돌,,0.0,4.0,7.0,25.9
502,철근콘크리트,2.0,2.0,0.0,6.0,19.2
503,벽돌,1.0,1.0,9.0,8.0,22.0
504,벽돌,1.0,0.0,13.0,4.0,19.6
505,목조,2.0,3.0,5.0,10.0,33.2
506,목조,2.0,3.0,1.0,4.0,42.3
507,철근콘크리트,2.0,3.0,12.0,10.0,38.5
508,목조,2.0,1.0,3.0,4.0,19.9
509,철근콘크리트,3.0,3.0,14.0,9.0,45.6
510,목조,2.0,2.0,8.0,6.0,28.8
511,,2.0,,0.0,9.0,33.5
512,벽돌,2.0,,7.0,9.0,32.1
513,목조,2.0,3.0,4.0,10.0,26.8
514,벽돌,2.0,0.0,9.0,9.0,28.7
515,철근콘크리트,2.0,2.0,7.0,6.0,20.6
516,벽돌,2.0,3.0,9.0,9.0,32.9
