number,region,area_sqm,num_rooms,num_bathrooms,building_age
439,마포,127.0,2.0,2.0,4.0
440,마포,107.0,3.0,2.0,2.0
441,강북,93.0,1.0,1.0,18.0
442,서초,141.0,2.0,2.0,38.0
443,마포,136.0,1.0,2.0,19.0
444,강남,75.0,1.0,1.0,5.0
445,서초,63.0,5.0,1.0,22.0
446,강북,107.0,1.0,3.0,5.0
447,강북,148.0,1.0,2.0,32.0
448,기타,103.0,4.0,3.0,31.0
449,강북,132.0,1.0,2.0,19.0
450,기타,66.0,2.0,2.0,15.0
451,서초,120.0,2.0,3.0,6.0
452,서초,141.0,3.0,1.0,25.0
453,기타,184.0,3.0,2.0,14.0
454,강남,106.0,3.0,2.0,38.0
455,강남,69.0,5.0,1.0,21.0
456,강남,137.0,5.0,1.0,5.0
457,마포,172.0,5.0,2.0,35.0
458,마포,105.0,3.0,1.0,17.0
459,마포,194.0,3.0,3.0,17.0
460,마포,132.0,3.0,2.0,24.0
461,마포,176.0,5.0,1.0,31.0
462,강남,73.0,2.0,2.0,14.0
463,강북,57.0,2.0,3.0,39.0
464,강북,100.0,4.0,1.0,19.0
465,강북,69.0,3.0,2.0,14.0
466,서초,122.0,5.0,1.0,4.0
467,강남,108.0,3.0,1.0,32.0
468,기타,167.0,5.0,2.0,31.0
469,서초,80.0,4.0,3.0,39.0
470,강북,192.0,1.0,1.0,34.0
471,기타,199.0,5.0,2.0,34.0
472,강남,121.0,2.0,1.0,16.0
473,강남,151.0,3.0,1.0,29.0
474,기타,159.0,1.0,1.0,12.0
475,강북,161.0,3.0,3.0,36.0
476,서초,146.0,2.0,2.0,30.0
477,강남,172.0,3.0,2.0,10.0
478,서초,61.0,3.0,2.0,7.0
479,강남,111.0,2.0,1.0,22.0
480,강북,164.0,5.0,3.0,8.0
481,강남,129.0,2.0,2.0,
482,강남,93.0,5.0,3.0,14.0
483,강북,153.0,3.0,1.0,5.0
484,강남,159.0,,1.0,30.0
485,마포,50.0,1.0,3.0,11.0
486,기타,168.0,2.0,1.0,14.0
487,강남,117.0,2.0,1.0,22.0
488,강북,100.0,5.0,3.0,31.0
489,강북,127.0,1.0,1.0,17.0
490,강남,176.0,1.0,2.0,8.0
491,마포,85.0,5.0,1.0,11.0
492,강남,91.0,3.0,2.0,22.0
493,강남,102.0,2.0,2.0,20.0
494,강북,103.0,5.0,1.0,31.0
495,기타,84.0,1.0,2.0,23.0
496,강남,97.0,2.0,2.0,18.0
497,마포,99.0,,2.0,27.0
498,강남,139.0,2.0,1.0,21.0
499,서초,110.0,2.0,2.0,33.0
500,강남,174.0,4.0,1.0,22.0
501,서초,117.0,3.0,1.0,21.0
502,강북,60.0,2.0,3.0,
503,서초,67.0,4.0,1.0,33.0
504,마포,61.0,2.0,2.0,4.0
505,기타,194.0,3.0,2.0,21.0
506,서초,195.0,5.0,2.0,4.0
507,강남,158.0,5.0,1.0,35.0
508,강북,128.0,2.0,2.0,35.0
509,강남,188.0,3.0,3.0,8.0
510,마포,157.0,5.0,2.0,36.0
511,마포,146.0,2.0,1.0,13.0
512,서초,155.0,2.0,3.0,11.0
513,강북,153.0,3.0,1.0,37.0
514,강남,112.0,3.0,1.0,22.0
515,강북,121.0,2.0,1.0,
516,서초,136.0,5.0,1.0,38.0
517,서초,61.0,1.0,1.0,18.0
518,강남,83.0,4.0,2.0,17.0
519,서초,84.0,5.0,3.0,20.0
520,강남,186.0,5.0,3.0,8.0
521,서초,142.0,4.0,3.0,12.0
522,서초,188.0,3.0,1.0,11.0
523,강남,115.0,1.0,3.0,9.0
524,서초,144.0,4.0,1.0,22.0
525,서초,77.0,1.0,1.0,6.0
526,마포,142.0,1.0,1.0,26.0
527,강북,107.0,1.0,3.0,21.0
528,강남,187.0,2.0,1.0,36.0
529,강남,84.0,1.0,2.0,20.0
530,강북,129.0,4.0,2.0,10.0
531,기타,76.0,2.0,2.0,4.0
532,강남,167.0,2.0,2.0,9.0
533,기타,151.0,5.0,3.0,30.0
534,강남,61.0,1.0,3.0,14.0
535,서초,143.0,2.0,2.0,16.0
536,서초,189.0,1.0,,16.0
537,강남,58.0,3.0,3.0,16.0
538,강남,158.0,1.0,3.0,
539,서초,192.0,5.0,3.0,23.0
540,마포,127.0,1.0,3.0,36.0
541,강남,60.0,2.0,1.0,33.0
542,강남,95.0,2.0,3.0,29.0
543,강남,135.0,5.0,3.0,5.0
544,강남,194.0,5.0,2.0,32.0
545,강남,69.0,3.0,3.0,11.0
546,강남,51.0,4.0,1.0,22.0
547,마포,185.0,2.0,2.0,12.0
548,강남,139.0,4.0,3.0,14.0
549,서초,51.0,2.0,1.0,21.0
550,서초,196.0,4.0,3.0,39.0
551,강남,192.0,1.0,2.0,10.0
552,강남,143.0,1.0,1.0,28.0
553,강북,131.0,4.0,1.0,19.0
554,강남,145.0,5.0,3.0,29.0
555,강남,58.0,2.0,1.0,21.0
556,기타,66.0,,2.0,23.0
557,강남,89.0,2.0,3.0,20.0
558,강남,140.0,4.0,1.0,11.0
559,강남,123.0,4.0,3.0,26.0
560,마포,84.0,1.0,2.0,5.0
561,마포,149.0,,3.0,31.0
562,마포,62.0,1.0,3.0,23.0
563,강남,62.0,3.0,1.0,34.0
564,서초,195.0,2.0,2.0,23.0
565,서초,94.0,4.0,2.0,2.0
566,마포,187.0,4.0,1.0,19.0
567,마포,128.0,4.0,3.0,16.0
568,강북,161.0,1.0,3.0,27.0
569,강북,184.0,5.0,2.0,1.0
570,강남,100.0,3.0,3.0,24.0
571,서초,94.0,2.0,3.0,33.0
572,서초,155.0,5.0,1.0,19.0
573,강북,159.0,1.0,2.0,1.0
574,기타,97.0,2.0,1.0,6.0
575,서초,198.0,2.0,1.0,18.0
576,마포,117.0,3.0,3.0,30.0
577,강북,79.0,5.0,3.0,30.0
578,마포,68.0,1.0,2.0,36.0
579,강남,119.0,3.0,2.0,14.0
580,강남,67.0,3.0,3.0,25.0
581,강북,159.0,5.0,1.0,11.0
582,마포,54.0,4.0,2.0,8.0
583,강남,133.0,1.0,3.0,16.0
584,강남,94.0,1.0,3.0,11.0
585,강남,57.0,2.0,3.0,1.0
586,강남,120.0,3.0,2.0,30.0
587,강남,88.0,4.0,3.0,13.0
588,강남,113.0,3.0,3.0,10.0
589,강북,90.0,4.0,2.0,36.0
590,강남,171.0,1.0,2.0,8.0
591,마포,62.0,4.0,1.0,9.0
592,마포,90.0,5.0,3.0,34.0
593,마포,92.0,5.0,1.0,26.0
594,강북,191.0,4.0,2.0,0.0
595,기타,191.0,3.0,1.0,18.0
596,강남,123.0,5.0,2.0,12.0
597,강남,59.0,5.0,3.0,7.0
598,강남,162.0,3.0,3.0,29.0
599,마포,97.0,4.0,3.0,20.0
600,강남,152.0,2.0,3.0,10.0
601,강북,150.0,,1.0,29.0
602,서초,136.0,3.0,3.0,28.0
603,강북,139.0,4.0,3.0,27.0
604,강남,157.0,2.0,1.0,5.0
605,강북,165.0,5.0,3.0,21.0
606,서초,165.0,2.0,2.0,20.0
607,마포,165.0,4.0,2.0,37.0
608,기타,87.0,2.0,1.0,13.0
609,강남,144.0,4.0,3.0,31.0
610,강남,158.0,4.0,2.0,9.0
611,기타,131.0,3.0,3.0,38.0
612,강북,69.0,5.0,2.0,
613,기타,174.0,3.0,2.0,28.0
614,기타,183.0,3.0,2.0,4.0
615,강북,76.0,3.0,3.0,9.0
616,강북,68.0,4.0,2.0,10.0
617,강북,84.0,1.0,3.0,25.0
618,강북,99.0,4.0,1.0,35.0
619,서초,183.0,3.0,2.0,25.0
620,강남,69.0,4.0,2.0,9.0
621,기타,153.0,2.0,2.0,12.0
622,강남,154.0,2.0,3.0,21.0
623,강남,108.0,5.0,1.0,13.0
624,서초,58.0,4.0,3.0,12.0
625,마포,63.0,2.0,2.0,39.0
626,기타,64.0,1.0,3.0,37.0
627,강북,108.0,3.0,1.0,15.0
628,기타,134.0,5.0,2.0,18.0
629,마포,67.0,5.0,3.0,24.0
630,강남,93.0,2.0,2.0,24.0
631,기타,148.0,2.0,3.0,24.0
632,강남,169.0,3.0,3.0,6.0
633,강북,121.0,2.0,2.0,13.0
634,마포,170.0,4.0,1.0,8.0
635,서초,73.0,4.0,3.0,30.0
636,마포,119.0,4.0,3.0,17.0
637,강남,75.0,5.0,2.0,34.0
638,서초,143.0,5.0,3.0,25.0
639,강북,128.0,5.0,1.0,30.0
640,강북,90.0,5.0,1.0,19.0
641,강북,132.0,1.0,3.0,15.0
642,기타,145.0,4.0,1.0,31.0
643,마포,65.0,3.0,2.0,11.0
644,강북,175.0,5.0,2.0,31.0
645,강북,182.0,,2.0,2.0
646,강남,99.0,5.0,2.0,8.0
647,강북,180.0,3.0,2.0,4.0
648,강북,123.0,3.0,1.0,13.0
649,마포,60.0,2.0,3.0,11.0
650,마포,176.0,4.0,1.0,33.0
651,강북,140.0,2.0,1.0,4.0
652,강북,143.0,5.0,1.0,29.0
653,강남,186.0,5.0,2.0,24.0
654,서초,96.0,4.0,2.0,32.0
655,서초,148.0,1.0,1.0,1.0
656,기타,140.0,2.0,1.0,24.0
657,마포,131.0,4.0,3.0,31.0
658,강북,128.0,1.0,1.0,35.0
659,강북,175.0,2.0,2.0,2.0
660,강남,165.0,5.0,3.0,33.0
661,강북,150.0,4.0,2.0,12.0
662,강북,144.0,2.0,3.0,29.0
663,마포,130.0,2.0,2.0,35.0
664,강남,183.0,2.0,3.0,24.0
665,마포,61.0,2.0,3.0,11.0
666,서초,99.0,5.0,1.0,39.0
667,강북,156.0,3.0,1.0,
668,마포,177.0,4.0,3.0,3.0
669,강북,66.0,2.0,3.0,19.0
670,강남,160.0,4.0,1.0,36.0
